Feature ID,Module,Feature Name,Description,Priority,Release,Status
AUTH-001,AUTH,User Registration,Users can create a new account using their email and password and verify their email address before account,High,MVP,Planned
AUTH-002,AUTH,User Login,Users can authenticate using valid email and password credentials and establish a secure authentication session.,High,MVP,Planned
AUTH-003,AUTH,User Logout,Users can securely end their active authentication session.,High,MVP,Planned
AUTH-004,AUTH,Forgot Password,Users can request a password reset using their registered email address.,High,MVP,Planned
AUTH-005,AUTH,Reset Password,Users can set a new password using a valid and unused password reset token.,High,MVP,Planned
AUTH-006,AUTH,Session Refresh,The system can rotate an active authentication session without requiring the user to log in again.,High,MVP,Planned
AUTH-007,AUTH,Change Password,Authenticated users can change their current password.,Medium,MVP,Planned
AUTH-008,AUTH,Role Management,Administrators can manage user roles and role assignments.,Medium,v2.0,Planned
AUTH-009,AUTH,Permission Management,Administrators can manage permissions and access policies.,Medium,v2.0,Planned
CUST-001,CUST,Customer Profile,Customers can view and update their profile information.,High,MVP,Planned
CUST-002,CUST,Address Book,Customers can manage multiple shipping addresses and set a default address.,High,MVP,Planned
CUST-003,CUST,Wishlist,Customers can save products to a personal wishlist.,High,MVP,Planned
CUST-004,CUST,Order History,Customers can view their previous orders and transaction history.,High,MVP,Planned
CUST-005,CUST,Notification Center,Customers can view in-app notifications related to their account and activities.,Medium,MVP,Planned
PROD-001,PROD,Product List,Customers can browse the available products in the Ruma catalog.,High,MVP,Planned
PROD-002,PROD,Product Detail,Customers can view detailed information about a product.,High,MVP,Planned
PROD-003,PROD,Product Categories,Customers can browse products by category and subcategory.,High,MVP,Planned
PROD-004,PROD,Product Search,Customers can search for products by relevant keywords such as product name.,High,MVP,Planned
PROD-005,PROD,Product Filter,"Customers can filter products by attributes such as category, brand, supplier, and price.",High,MVP,Planned
PROD-006,PROD,Product Sorting,"Customers can sort products based on supported sorting options such as price, newest, or relevance.",Medium,MVP,Planned
PROD-007,PROD,Product Gallery,Customers can view multiple images and media associated with a product.,High,MVP,Planned
PROD-008,PROD,Product Reviews,Customers can view reviews submitted for a product.,Medium,MVP,Planned
PROD-009,PROD,Product Rating,Customers can view the average rating and rating distribution of a product.,Medium,MVP,Planned
PROD-010,PROD,Related Products,Customers can discover products related to the product they are viewing.,Medium,MVP,Planned
PROD-011,PROD,Best Seller,The system can identify and display best-selling products.,Low,v1.1,Planned
PROD-012,PROD,New Arrival,The system can identify and display newly added products.,Low,v1.1,Planned
PROD-013,PROD,Brand Management,The system can manage brands associated with products in the Ruma catalog.,High,MVP,Planned
PROD-014,PROD,Supplier Management,The system can manage suppliers associated with products in the Ruma catalog.,High,MVP,Planned
SHOP-001,SHOP,Add to Cart,Customers can add available products to their shopping cart.,High,MVP,Planned
SHOP-002,SHOP,Update Quantity,Customers can change the quantity of products in their shopping cart.,High,MVP,Planned
SHOP-003,SHOP,Remove Item,Customers can remove products from their shopping cart.,High,MVP,Planned
SHOP-004,SHOP,Select Item,Customers can select products in their cart for checkout.,High,MVP,Planned
SHOP-005,SHOP,Shipping Estimation,Customers can estimate shipping costs based on selected products and shipping destination.,High,MVP,Planned
SHOP-006,SHOP,Apply Voucher,Customers can apply eligible vouchers to their shopping cart.,Medium,v1.1,Planned
CHKOUT-001,CHKOUT,Shipping Address,Customers can select a shipping address from their saved addresses during checkout.,High,MVP,Planned
CHKOUT-002,CHKOUT,Courier Selection,Customers can select a supported shipping courier for their order.,High,MVP,Planned
CHKOUT-003,CHKOUT,Shipping Service,Customers can select an available shipping service based on the selected courier and destination.,High,MVP,Planned
CHKOUT-004,CHKOUT,Payment Method,Customers can select an available payment method for their order.,High,MVP,Planned
CHKOUT-005,CHKOUT,Order Summary,"Customers can review the products, quantities, shipping cost, discounts, and total amount before placing an order.",High,MVP,Planned
CHKOUT-006,CHKOUT,Place Order,Customers can place an order after all required checkout information has been completed and validated.,High,MVP,Planned
PAY-001,PAY,QRIS Payment,Pembayaran QRIS.,High,MVP,Planned
PAY-002,PAY,Virtual Account Payment,Pembayaran Virtual Account.,High,MVP,Planned
