Requirement ID,Feature ID,Module,Requirement Name,Requirement Type,Priority,Status,Version,Notes
FR-AUTH-001,AUTH-001,AUTH,User Registration,User,Must Have,Implemented,MVP,
FR-AUTH-002,AUTH-001,AUTH,Email Verification,System,Must Have,Implemented,MVP,
FR-AUTH-003,AUTH-002,AUTH,User Login,User,Must Have,Implemented,MVP,
FR-AUTH-004,AUTH-002,AUTH,Credential Validation,System,Must Have,Implemented,MVP,
FR-AUTH-005,AUTH-002,AUTH,Authenticate User Session,System,Must Have,Implemented,MVP,
FR-AUTH-006,AUTH-002,AUTH,Maintain User Authentication,System,Must Have,Implemented,MVP,
FR-AUTH-007,AUTH-002,AUTH,Establish User Session,System,Must Have,Implemented,MVP,
FR-AUTH-008,AUTH-003,AUTH,User Logout,User,Must Have,Implemented,MVP,
FR-AUTH-009,AUTH-003,AUTH,Destroy User Session,System,Must Have,Implemented,MVP,
FR-AUTH-010,AUTH-004,AUTH,Forgot Password Request,User,Must Have,Implemented,MVP,
FR-AUTH-011,AUTH-004,AUTH,Generate Password Reset Token,System,Must Have,Implemented,MVP,
FR-AUTH-012,AUTH-005,AUTH,Reset Password,User,Must Have,Implemented,MVP,
FR-AUTH-013,AUTH-006,AUTH,Refresh Access Token,System,Must Have,Implemented,MVP,
FR-AUTH-014,AUTH-007,AUTH,Change Password,User,Should Have,Implemented,MVP,
FR-CUST-001,CUST-001,CUST,View Customer Profile,User,Must Have,Review,MVP,Customers can view their own profile information.
FR-CUST-002,CUST-001,CUST,Update Customer Profile,User,Must Have,Review,MVP,Customers can update editable profile information.
FR-CUST-003,CUST-001,CUST,Update Profile Photo,User,Should Have,Review,MVP,Customers can upload or replace their profile photo.
FR-CUST-004,CUST-002,CUST,View Saved Addresses,User,Must Have,Draft,MVP,
FR-CUST-005,CUST-002,CUST,Add Address,User,Must Have,Draft,MVP,
FR-CUST-006,CUST-002,CUST,Edit Address,User,Must Have,Draft,MVP,
FR-CUST-007,CUST-002,CUST,Set Default Address,User,Must Have,Draft,MVP,
FR-CUST-008,CUST-003,CUST,View Wishlist,User,Must Have,Draft,MVP,
FR-CUST-009,CUST-003,CUST,Add Product to Wishlist,User,Must Have,Draft,MVP,
FR-CUST-010,CUST-003,CUST,Remove Product from Wishlist,User,Must Have,Draft,MVP,
FR-CUST-011,CUST-004,CUST,View Order History,User,Must Have,Draft,MVP,
FR-CUST-012,CUST-004,CUST,View Order Detail,User,Must Have,Draft,MVP,
FR-CUST-013,CUST-004,CUST,Track Order,User,Must Have,Draft,MVP,
FR-CUST-014,CUST-004,CUST,Cancel Order,User,Must Have,Draft,MVP,
FR-CUST-015,CUST-004,CUST,Confirm Order Received,User,Must Have,Draft,MVP,
FR-CUST-016,CUST-005,CUST,View Notification Center,User,Must Have,Draft,MVP,
FR-CUST-017,CUST-005,CUST,View Notification Detail,User,Must Have,Draft,MVP,
