Feature ID,Description,Feature Name,Module,Priority,Release,Status
AUTH-001,Users can create a new account using their email and password and verify their email address before account,User Registration,AUTH,High,MVP,Planned
AUTH-002,Users can authenticate using valid email and password credentials and establish a secure authentication session.,User Login,AUTH,High,MVP,Planned
AUTH-003,Users can securely end their active authentication session.,User Logout,AUTH,High,MVP,Planned
AUTH-004,Users can request a password reset using their registered email address.,Forgot Password,AUTH,High,MVP,Planned
AUTH-005,Users can set a new password using a valid and unused password reset token.,Reset Password,AUTH,High,MVP,Planned
AUTH-006,The system can rotate an active authentication session without requiring the user to log in again.,Session Refresh,AUTH,High,MVP,Planned
AUTH-007,Authenticated users can change their current password.,Change Password,AUTH,Medium,MVP,Planned
AUTH-008,Administrators can manage user roles and role assignments.,Role Management,AUTH,Medium,v2.0,Planned
AUTH-009,Administrators can manage permissions and access policies.,Permission Management,AUTH,Medium,v2.0,Planned
CUST-001,Customers can view and update their profile information.,Customer Profile,CUST,High,MVP,Planned
CUST-002,Customers can manage multiple shipping addresses and set a default address.,Address Book,CUST,High,MVP,Planned
CUST-003,Customers can save products to a personal wishlist.,Wishlist,CUST,High,MVP,Planned
CUST-004,Customers can view their previous orders and transaction history.,Order History,CUST,High,MVP,Planned
PROD-001,Customers can browse the available products in the Ruma catalog.,Product List,PROD,High,MVP,Planned
PROD-002,Customers can view detailed information about a product.,Product Detail,PROD,High,MVP,Planned
PROD-003,Customers can browse products by category and subcategory.,Product Categories,PROD,High,MVP,Planned
PROD-004,Customers can search for products by relevant keywords such as product name.,Product Search,PROD,High,MVP,Planned
PROD-005,"Customers can filter products by attributes such as category, brand, supplier, and price.",Product Filter,PROD,High,MVP,Planned
PROD-006,"Customers can sort products based on supported sorting options such as price, newest, or relevance.",Product Sorting,PROD,Medium,MVP,Planned
PROD-007,Customers can view multiple images and media associated with a product.,Product Gallery,PROD,High,MVP,Planned
PROD-008,Customers can view reviews submitted for a product.,Product Reviews,PROD,Medium,MVP,Planned
PROD-009,Customers can view the average rating and rating distribution of a product.,Product Rating,PROD,Medium,MVP,Planned
PROD-010,Customers can discover products related to the product they are viewing.,Related Products,PROD,Medium,MVP,Planned
PROD-011,The system can identify and display best-selling products.,Best Seller,PROD,Low,v1.1,Planned
PROD-012,The system can identify and display newly added products.,New Arrival,PROD,Low,v1.1,Planned
SHOP-001,Customers can add available products to their shopping cart.,Add to Cart,SHOP,High,MVP,Planned
SHOP-002,Customers can change the quantity of products in their shopping cart.,Update Quantity,SHOP,High,MVP,Planned
SHOP-003,Customers can remove products from their shopping cart.,Remove Item,SHOP,High,MVP,Planned
SHOP-004,Customers can select products in their cart for checkout.,Select Item,SHOP,High,MVP,Planned
SHOP-005,Customers can estimate shipping costs based on selected products and shipping destination.,Shipping Estimation,SHOP,High,MVP,Planned
SHOP-006,Customers can apply eligible vouchers to their shopping cart.,Apply Voucher,SHOP,Medium,v1.1,Planned
CHKOUT-001,Customers can select a shipping address from their saved addresses during checkout.,Shipping Address,CHKOUT,High,MVP,Planned
CHKOUT-002,Customers can select a supported shipping courier for their order.,Courier Selection,CHKOUT,High,MVP,Planned
CHKOUT-003,Customers can select an available shipping service based on the selected courier and destination.,Shipping Service,CHKOUT,High,MVP,Planned
CHKOUT-004,Customers can select an available payment method for their order.,Payment Method,CHKOUT,High,MVP,Planned
CHKOUT-005,"Customers can review the products, quantities, shipping cost, discounts, and total amount before placing an order.",Order Summary,CHKOUT,High,MVP,Planned
CHKOUT-006,Customers can place an order after all required checkout information has been completed and validated.,Place Order,CHKOUT,High,MVP,Planned
PAY-001,Pembayaran QRIS.,QRIS Payment,PAY,High,MVP,Planned
PAY-002,Pembayaran Virtual Account.,Virtual Account Payment,PAY,High,MVP,Planned
PAY-003,Callback dari payment gateway.,Payment Callback,PAY,High,MVP,Planned
PAY-004,Menampilkan status pembayaran.,Payment Status,PAY,High,MVP,Planned
PAY-005,Membuat invoice.,Invoice,PAY,High,MVP,Planned
PAY-006,Transfer manual.,Manual Bank Transfer,PAY,Medium,v1.1,Planned
ORDER-001,Customers can view their previous and current orders and transaction history.,Order History,ORDER,High,MVP,Planned
ORDER-002,"Customers can view detailed information about an order, including items, payment, shipping, and order status.",Order Detail,ORDER,High,MVP,Planned
ORDER-003,Customers can track the status and shipment progress of their orders.,Order Tracking,ORDER,High,MVP,Planned
ORDER-004,Customers can cancel eligible orders before the order enters processing or fulfillment.,Cancel Order,ORDER,High,MVP,Planned
ORDER-005,Customers can confirm that an order has been successfully received.,Confirm Received,ORDER,High,MVP,Planned
INV-001,Administrators can monitor and manage product stock levels across the Ruma catalog.,Stock Management,INV,High,MVP,Planned
INV-002,Authorized administrators can adjust stock quantities and record the reason for each adjustment.,Stock Adjustment,INV,High,MVP,Planned
INV-003,The system can notify authorized users when product stock reaches a defined low-stock threshold.,Low Stock Alert,INV,Medium,MVP,Planned
INV-004,The system can record and display historical changes to product stock quantities.,Stock History,INV,Medium,MVP,Planned
PROMO-001,"Administrators can create, update, schedule, and manage promotional banners displayed across Ruma.",Banner Management,PROMO,Medium,MVP,Planned
PROMO-002,"Administrators can create and manage vouchers with defined eligibility, validity, and usage rules.",Voucher Management,PROMO,Medium,v1.1,Planned
PROMO-003,Administrators can configure discounts for eligible products during a defined promotional period.,Product Discount,PROMO,Medium,v1.1,Planned
PROMO-004,Administrators can configure time-limited promotional campaigns with selected products and promotional prices.,Flash Sale,PROMO,Low,v2.0,Planned
REPORT-001,Administrators can view reports of completed and processed sales transactions.,Sales Report,REPORT,High,MVP,Planned
REPORT-002,Administrators can monitor revenue generated from marketplace transactions.,Revenue Report,REPORT,High,MVP,Planned
REPORT-003,"Administrators can analyze product performance, including sales and product-level activity.",Product Report,REPORT,Medium,v1.1,Planned
REPORT-004,Administrators can view customer-related metrics and purchasing activity.,Customer Report,REPORT,Medium,v1.1,Planned
NOTIF-001,The system can send relevant transactional and account notifications through email.,Email Notification,NOTIF,High,MVP,Planned
